onset	gain	loss	PTval	respnum	respcat	RT
0.00	28	17	-31.89	4	0	1.274
4.00	14	7	-10.66	3	0	1.371
8.00	28	18	-35.41	4	0	0.888
14.00	16	11	-22.75	4	0	1.189
18.00	40	20	-30.46	4	0	2.092
22.00	18	16	-38.36	4	0	0.957
28.00	38	11	-0.75	2	1	2.636
32.00	36	10	0.77	0	-1	0.000
40.00	40	18	-23.41	4	0	2.325
44.00	10	10	-25.23	4	0	1.198
50.00	24	6	2.86	1	1	1.541
56.00	20	8	-8.18	2	1	1.453
62.00	40	12	-2.27	2	1	2.445
68.00	22	10	-13.23	4	0	1.685
76.00	18	6	-3.14	2	1	1.790
80.00	38	16	-18.36	4	0	2.223
90.00	30	20	-40.46	4	0	1.246
98.00	22	14	-27.32	4	0	2.894
102.00	18	18	-45.41	4	0	0.911
106.00	16	19	-50.93	4	0	0.895
110.00	24	10	-11.23	3	0	1.719
116.00	12	19	-54.93	4	0	0.910
120.00	28	9	-3.71	2	1	1.240
126.00	30	10	-5.23	2	1	2.215
130.00	18	15	-34.84	4	0	1.400
142.00	32	14	-17.32	3	0	2.367
146.00	34	11	-4.75	0	-1	0.000
152.00	38	19	-28.93	3	0	0.001
156.00	14	10	-21.23	3	0	1.528
160.00	34	8	5.82	1	1	1.217
164.00	30	11	-8.75	3	0	1.960
168.00	32	13	-13.80	4	0	2.129
174.00	18	11	-20.75	4	0	1.704
178.00	30	7	5.34	1	1	1.537
186.00	18	13	-27.80	4	0	1.689
190.00	14	19	-52.93	4	0	1.026
198.00	12	11	-26.75	4	0	1.161
202.00	10	13	-35.80	4	0	0.887
206.00	22	16	-34.36	4	0	0.954
212.00	12	16	-44.36	4	0	0.801
218.00	38	17	-21.89	4	0	1.937
226.00	40	14	-9.32	2	1	1.626
230.00	22	5	4.39	2	1	1.466
234.00	16	16	-40.36	4	0	0.899
240.00	34	5	16.39	1	1	1.162
250.00	10	19	-56.93	4	0	1.034
254.00	14	16	-42.36	4	0	0.755
258.00	30	8	1.82	1	1	1.113
262.00	34	14	-15.32	3	0	2.523
266.00	30	14	-19.32	3	0	1.331
274.00	26	15	-26.84	4	0	0.979
282.00	10	20	-60.46	4	0	1.052
286.00	34	7	9.34	1	1	1.300
292.00	10	5	-7.61	3	0	2.522
296.00	20	20	-50.46	4	0	1.054
300.00	28	20	-42.46	4	0	1.244
304.00	36	5	18.39	1	1	1.068
308.00	26	7	1.34	1	1	1.028
316.00	26	17	-33.89	4	0	1.684
326.00	16	15	-36.84	4	0	0.844
330.00	26	10	-9.23	4	0	2.293
338.00	38	15	-14.84	4	0	1.445
346.00	26	11	-12.75	3	0	2.396
356.00	28	5	10.39	2	1	1.349
362.00	14	18	-49.41	4	0	0.965
368.00	22	12	-20.27	4	0	2.347
372.00	34	15	-18.84	4	0	2.454
376.00	38	13	-7.80	4	0	2.478
380.00	10	8	-18.18	4	0	1.495
394.00	12	9	-19.71	4	0	1.199
398.00	36	11	-2.75	3	0	1.687
404.00	14	5	-3.61	2	1	2.181
408.00	22	11	-16.75	4	0	1.255
412.00	18	19	-48.93	4	0	1.023
418.00	22	8	-6.18	2	1	1.567
428.00	38	6	16.86	1	1	1.487
434.00	12	8	-16.18	3	0	2.488
438.00	14	11	-24.75	4	0	1.289
442.00	32	12	-10.27	2	1	2.976
446.00	20	11	-18.75	4	0	1.257
450.00	26	14	-23.32	4	0	1.199
454.00	32	8	3.82	1	1	1.432
466.00	40	17	-19.89	4	0	1.440
472.00	20	17	-39.89	4	0	2.071
476.00	24	19	-42.93	0	-1	0.000
